"","gene","CvDep","CvDep_diff","CvPTSD","CvPTSD_diff","CvPTSDDep","CvPTSDDep_diff","CTEvDep","CTEvDep_diff","CTEvPTSD","CTEvPTSD_diff","CTEvPTSDDep","CTEvPTSDDep_diff"
"151","YPEL5","Under",0.1083,"Over",0.1172,"Over",0.0804,"Over",0.122,"Over",0.3474,"Over",0.3107
"152","UQCRBP1","Over",0.2721,"Over",0.1999,"Over",0.0749,"Over",0.2349,"Over",0.1627,"Over",0.0377
"153","PFN1","Under",0.2888,"Under",0.0711,"Under",0.1747,"Under",0.2003,"Over",0.0175,"Under",0.0861
"154","MRPL3","Under",0.0571,"Over",0.1558,"Under",0.1691,"Under",0.1748,"Over",0.0381,"Under",0.2868
"155","ZNF786","Over",0.0646,"Under",0.4445,"Over",0.14,"Under",0.0403,"Under",0.5493,"Over",0.0351
"156","ADAM19","Under",0.2335,"Under",0.2933,"Under",0.2573,"Under",0.1465,"Under",0.2062,"Under",0.1702
"157","UBE2J1","Under",0.0018,"Under",0.0841,"Over",0.2578,"Over",0.2144,"Over",0.1321,"Over",0.4741
"158","LITAF","Under",0.2416,"Under",0.3063,"Under",0.1816,"Under",0.2125,"Under",0.2772,"Under",0.1524
"159","MAF1","Under",1e-04,"Over",0.2406,"Over",0.2433,"Over",0.1651,"Over",0.4057,"Over",0.4085
"160","AQP9","Under",0.1779,"Under",0.3528,"Under",0.1293,"Under",0.0981,"Under",0.273,"Under",0.0495
"161","PTPN7","Over",0.0663,"Under",0.1876,"Under",0.1678,"Over",0.0518,"Under",0.2021,"Under",0.1822
"162","TFAM","Over",0.1213,"Over",0.1071,"Over",0.2981,"Over",0.1946,"Over",0.1804,"Over",0.3714
"163","NEIL2","Over",0.2484,"Over",0.6505,"Over",0.4064,"Over",0.2062,"Over",0.6083,"Over",0.3642
"164","RPL32","Over",0.033,"Over",0.1682,"Over",0.0348,"Over",0.0391,"Over",0.1742,"Over",0.0408
"165","ISCA1","Under",0.283,"Over",0.0425,"Over",0.105,"Under",0.0587,"Over",0.2669,"Over",0.3293
"166","FBXO7","Under",0.1112,"Over",0.5232,"Under",0.2864,"Under",0.1133,"Over",0.5211,"Under",0.2885
"167","RPL15","Over",0.2341,"Over",0.1889,"Over",0.1295,"Over",0.1042,"Over",0.059,"Under",5e-04
"168","AK2","Under",0.1569,"Under",0.0461,"Under",0.1816,"Under",0.3108,"Under",0.2,"Under",0.3354
"169","NLRP12","Under",0.2259,"Under",0.4581,"Under",0.1523,"Under",0.1068,"Under",0.3389,"Under",0.0332
"170","PTPN6","Over",0.0847,"Over",0.2864,"Over",0.2593,"Over",0.1949,"Over",0.3966,"Over",0.3695
"171","PPM1B","Over",0.2107,"Over",0.011,"Over",0.1866,"Over",0.1992,"Under",5e-04,"Over",0.1751
"172","C1QL1","Over",0.0528,"Over",0.226,"Over",0.166,"Over",0.0497,"Over",0.2229,"Over",0.1629
"173","IGBP1","Over",0.0212,"Over",0.1664,"Under",0.1557,"Over",0.0437,"Over",0.1889,"Under",0.1331
"174","MMP25","Under",0.1858,"Under",0.4876,"Under",0.3289,"Under",0.1735,"Under",0.4753,"Under",0.3167
"175","CCT8","Under",0.1697,"Over",0.2195,"Under",0.0314,"Under",0.3104,"Over",0.0788,"Under",0.1721
"176","FAM217B","Under",0.1587,"Under",0.2758,"Over",0.0054,"Over",0.0693,"Under",0.0478,"Over",0.2334
"177","CNKSR1","Over",0.1519,"Under",0.2029,"Under",0.2273,"Over",0.0554,"Under",0.2994,"Under",0.3237
"178","LSM3","Over",0.0967,"Over",0.1924,"Under",0.1031,"Under",0.0897,"Over",0.006,"Under",0.2895
"179","MSRB1","Under",0.152,"Under",0.2398,"Under",0.2168,"Under",0.0443,"Under",0.1321,"Under",0.1091
"180","NCBP2","Over",0.0064,"Over",0.2326,"Under",0.0477,"Over",0.0256,"Over",0.2518,"Under",0.0285
"181","OSBPL7","Under",0.0049,"Under",0.0462,"Over",0.1004,"Under",0.1189,"Under",0.1602,"Under",0.0136
"182","TAF10","Over",0.0584,"Over",0.2203,"Over",0.0225,"Over",0.0778,"Over",0.2397,"Over",0.0419
"183","MAGT1","Over",0.1808,"Under",0.3177,"Over",0.3052,"Under",5e-04,"Under",0.499,"Over",0.124
"184","ATP5PB","Under",0.0751,"Over",0.1144,"Under",0.0656,"Under",0.1547,"Over",0.0348,"Under",0.1452
"185","DUSP19","Over",0.1033,"Under",0.2354,"Over",0.0981,"Under",0.0045,"Under",0.3432,"Under",0.0097
"186","GJC2","Over",0.1397,"Under",0.0121,"Under",0.0913,"Over",0.0786,"Under",0.0732,"Under",0.1524
"187","RPL36A","Over",0.2664,"Over",0.3185,"Over",0.1854,"Over",0.2021,"Over",0.2542,"Over",0.1211
"188","GSTK1","Under",0.061,"Over",0.3142,"Over",0.2249,"Over",0.0654,"Over",0.4406,"Over",0.3513
"189","TBCA","Over",0.1223,"Over",0.1671,"Under",0.0211,"Over",0.0027,"Over",0.0475,"Under",0.1407
"190","ATP5ME","Over",0.191,"Over",0.1396,"Over",0.0477,"Over",0.1747,"Over",0.1232,"Over",0.0314
"191","RSC1A1","Under",0.135,"Over",0.2276,"Over",0.1104,"Under",0.0586,"Over",0.304,"Over",0.1868
"192","OR51S1","Over",0.0583,"Over",0.311,"Over",0.2401,"Over",0.1044,"Over",0.3571,"Over",0.2862
"193","EWSR1","Over",0.0415,"Under",0.0947,"Over",0.2368,"Over",0.0596,"Under",0.0766,"Over",0.2549
"194","FIBCD1","Over",0.13,"Under",0.1333,"Under",0.1386,"Over",0.0701,"Under",0.1932,"Under",0.1984
"195","MPC2","Over",0.2867,"Over",0.4437,"Over",0.2018,"Over",0.2137,"Over",0.3707,"Over",0.1289
"196","CHPT1","Over",0.0255,"Over",0.2674,"Over",0.2409,"Over",0.1367,"Over",0.3787,"Over",0.3522
"197","CENPV","Over",0.1332,"Over",0.4484,"Over",0.1393,"Over",0.1904,"Over",0.5056,"Over",0.1965
"198","INO80C","Under",0.1693,"Over",0.1315,"Under",0.1724,"Under",0.0746,"Over",0.2263,"Under",0.0776
"199","MALT1","Under",0.0173,"Over",0.1632,"Over",0.0386,"Over",0.0031,"Over",0.1836,"Over",0.059
